Fuel Economy (freight ton*miles/BTU),battery electric vehicle,natural gas vehicle,gasoline vehicle,diesel vehicle,plugin hybrid vehicle,LPG vehicle,hydrogen vehicle
LDVs,0.0002586154296760073,8.121806882387007e-05,8.121806882387007e-05,8.121806882387007e-05,0.00017878661729254556,6.29440033384993e-05,0.00024365420647161018
HDVs,0.002627885011636422,0.0008177705772371527,0.0008177705772371527,0.0008177705772371527,0.001813333516156751,0.0006337721973587934,0.0024533117317114576
aircraft,0.0003330731512548964,0.00010364891232219509,0.00010364891232219509,0.00010364891232219509,0.0,0.0,0.00031094673696658524
rail,0.011068951578349735,0.003444543,0.003444543,0.003444543,0.0,0.0,0.010333628999999999
ships,0.015376273705526118,0.004784937,0.004784937,0.004784937,0.0,0.0,0.014354810999999999
motorbikes,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
